file,n_docs,batch_size,model,p@5,r@5,map,query_latency_mean_s,encode_total_s
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_force_H3_model_effect_10000_1769366111.json,10000,256,bert,0.11599999999999999,0.58,0.5285453296703296,0.0015098071098327637,0.6136221885681152
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_force_H3_model_effect_10000_1769366113.json,10000,256,sentence_transformer,0.09600000000000002,0.48,0.426981959625342,0.0012310194969177247,0.3546783924102783
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_H3_model_effect_1000000_1769366060.json,1000000,256,bert,0.068,0.34,0.31586892274392275,0.12348796129226684,33.483190059661865
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_H3_model_effect_100000_1769362370.json,100000,256,bert,0.051000000000000004,0.255,0.22971528909686803,0.012747923135757446,3.3701887130737305
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_H3_model_effect_100000_1769365805.json,100000,256,sentence_transformer,0.061000000000000006,0.305,0.27881498107156,0.011757272481918334,3.4030039310455322
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_H3_model_effect_10000_1769362357.json,10000,256,bert,0.07799999999999999,0.39,0.3330947511380948,0.0012761163711547852,0.3501455783843994
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_H3_model_effect_10000_1769362359.json,10000,256,sentence_transformer,0.066,0.33,0.2957342744974324,0.0012552869319915772,0.3415980339050293
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_large_remaining_H3_model_effect_400000_1769366757.json,400000,256,bert,0.0,0.0,,0.07952175617218017,15.182523965835571
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_large_remaining_H3_model_effect_400000_1769366792.json,400000,256,sentence_transformer,0.0,0.0,,0.04799479484558106,16.598637104034424
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_200000_1769366611.json,200000,256,bert,0.05600000000000001,0.28,0.27293167943167945,0.022723569869995117,6.710500717163086
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_200000_1769366630.json,200000,256,sentence_transformer,0.0,0.0,,0.024195857048034668,7.0646796226501465
